Designator,Mid X,Mid Y,Rotation,Layer
C1,156.75,-84.5,180.0,top
C10,190.7,-84.375,0.0,top
C11,149.0,-77.7,180.0,top
C12,149.0,-74.7,180.0,top
C13,178.25,-84.75,180.0,top
C14,137.6,-75.8,90.0,top
C2,116.9,-75.8,90.0,top
C3,147.25,-87.75,0.0,top
C4,107.6,-76.5,0.0,top
C5,169.165,-87.075,0.0,top
C6,128.3,-77.6,180.0,top
C7,169.165,-84.175,0.0,top
C8,128.3,-74.6,180.0,top
C9,190.7,-87.475,0.0,top
D1,184.235,-89.275,180.0,top
D3,162.685,-89.075,180.0,top
J1,131.98,-90.985,180.0,top
J2,111.98,-90.985,180.0,top
J3,185.75,-73.1,180.0,top
J4,165.55,-73.1,180.0,top
J7,195.56,-95.56,0.0,top
R1,169.165,-89.175,0.0,top
R2,128.3,-79.7,180.0,top
R3,190.7,-89.575,0.0,top
R4,149.0,-79.8,180.0,top
U1,162.885,-85.275,270.0,top
U2,122.015,-75.71,270.0,top
U3,184.45,-85.475,270.0,top
U4,142.685,-75.71,270.0,top
